pair,seed,relays,width,height,pso_total_evaluations,naive_total_evaluations,common_budget,pso_final_fitness,naive_final_fitness,pso_best_common_budget,naive_best_common_budget,delta_common_budget,pso_final_best_first_eval,naive_final_best_first_eval,pso_final_time,naive_final_time
83,1555680,2,500.0,500.0,420,400,400,0.419444,0.405556,0.419444,0.405556,0.013887999999999956,260,129,562.844,459.958
84,1555680,2,600.0,600.0,420,400,400,0.283333,0.288095,0.283333,0.288095,-0.0047619999999999885,178,193,591.233,514.175
85,1555680,2,700.0,700.0,420,400,400,0.252083,0.25,0.252083,0.25,0.0020830000000000015,124,31,715.385,616.088
86,60466,2,350.0,350.0,420,400,400,0.8875,0.870833,0.8875,0.870833,0.016666999999999987,265,92,425.07,337.841
87,60466,2,400.0,400.0,420,400,400,0.72,0.7,0.72,0.7,0.020000000000000018,206,246,510.232,419.965
88,60466,2,500.0,500.0,420,400,400,0.508333,0.505556,0.505556,0.505556,0.0,401,145,521.176,464.588
89,60466,2,600.0,600.0,420,400,400,0.342857,0.340476,0.342857,0.340476,0.002381000000000022,256,34,637.839,544.083
90,60466,2,700.0,700.0,420,400,400,0.25,0.235417,0.25,0.235417,0.014583000000000013,103,209,687.962,618.686
91,37283284,3,350.0,350.0,420,400,400,0.95,0.908333,0.95,0.908333,0.04166700000000001,170,308,473.993,396.745
92,37283284,3,400.0,400.0,420,400,400,0.793333,0.806667,0.78,0.806667,-0.026666999999999996,404,290,552.708,500.364
