scenario_id,sample_id,area_width,area_height,sink_x,sink_y,n_relays,relay_0_x,relay_0_y,relay_1_x,relay_1_y,relay_2_x,relay_2_y,relay_3_x,relay_3_y,relay_interface,relay_frequency,relay_bandwidth,relay_bitrate,relay_power,relay_traffic,node_interface,node_frequency,node_bandwidth,node_bitrate,node_power,node_traffic,propagation,packet_length,interval,network_seed,simulated_range,fitness
4,14,350,350,0,0,4,11.8506,2.34425,287.565,212.474,114.984,105.519,140.492,207.848,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.8875
4,15,350,350,0,0,4,80.7974,65.6741,252.184,214.521,147.741,160.708,163.059,197.255,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.925
4,16,350,350,0,0,4,60.231,134.618,305.592,247.059,93.7091,153.996,191.786,165.326,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.829167
4,17,350,350,0,0,4,72.7189,0,270.287,220.42,105.27,81.869,188.761,191.952,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.916667
4,18,350,350,0,0,4,59.29,125.47,240.841,247.075,135.664,170.061,193.741,114.317,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.941667
4,19,350,350,0,0,4,62.0258,96.3583,251.269,206.054,132.417,114.875,136.934,121.871,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.8875
5,0,350,350,0,0,4,305.864,271.35,86.6698,61.6485,195.322,201.508,95.5899,142.705,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.895833
5,1,350,350,0,0,4,263.704,211.538,55.7171,134.466,188.159,216.736,101.207,142.635,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.8625
5,2,350,350,0,0,4,242.826,259.007,45.3394,20.8662,190.441,187.27,104.701,87.7428,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.879167
5,3,350,350,0,0,4,319.68,224.127,140.652,93.3368,206.852,188.806,113.488,74.6069,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.8875
5,4,350,350,0,0,4,276.794,206.969,25.8824,16.1258,210.615,186.659,122.664,77.7014,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.870833
5,5,350,350,0,0,4,246.743,220.632,87.4538,99.4007,126.753,148.404,154.242,215.994,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.9375
5,6,350,350,0,0,4,248.183,332.342,112.918,46.7868,211.118,202.181,116.712,92.6345,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.875
5,7,350,350,0,0,4,341.168,232.268,22.7639,107.256,219.267,198.5,84.1194,182.084,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.8375
5,8,350,350,0,0,4,302.821,222.57,100.123,104.575,208.34,138.086,30.0468,78.511,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.866667
5,9,350,350,0,0,4,310.224,282.984,140.101,121.75,234.82,182.944,102.756,65.0752,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.8625
5,10,350,350,0,0,4,269.691,235.699,23.7454,72.3621,183.535,193.503,53.3733,139.052,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.854167
5,11,350,350,0,0,4,273.647,198.416,93.1725,0,119.987,189.389,147.538,137.116,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.933333
