relays,width,height,nodes,network_config,evaluations,pairs,mean_pso_pdr,mean_naive_pdr,mean_delta_pdr,median_delta_pdr,pso_wins,ties,naive_wins,naive_failed_pairs
4,500.0,500.0,,2,220,12,0.5208333333333334,0.5150464166666666,0.005786916666666674,0.009722000000000008,7,0,5,0
4,500.0,500.0,,2,240,12,0.5233795833333333,0.5150464166666666,0.008333166666666664,0.009722000000000008,7,0,5,0
4,500.0,500.0,,2,260,12,0.5252313333333333,0.5150464166666666,0.010184916666666663,0.011110500000000023,7,0,5,0
4,500.0,500.0,,2,280,12,0.5273147499999999,0.5150464166666666,0.012268333333333326,0.011110999999999982,7,0,5,0
4,500.0,500.0,,2,300,12,0.5287035833333333,0.5150464166666666,0.01365716666666666,0.011110999999999982,7,1,4,0
4,500.0,500.0,,2,320,12,0.5310184166666666,0.51643525,0.014583166666666656,0.01250049999999997,8,1,3,0
4,500.0,500.0,,2,340,12,0.5354165833333333,0.51643525,0.018981333333333322,0.018055500000000002,9,1,2,0
4,500.0,500.0,,2,360,12,0.5358795833333333,0.51643525,0.019444333333333324,0.018055500000000002,9,1,2,0
4,500.0,500.0,,2,380,12,0.54074075,0.5215278333333333,0.019212916666666652,0.024999999999999967,8,1,3,0
4,500.0,500.0,,2,400,12,0.5451389166666667,0.5215278333333333,0.02361108333333332,0.024999999999999967,8,2,2,0
6,500.0,500.0,,1,20,12,0.7201388333333333,0.7201388333333333,0.0,0.0,0,12,0,0
6,500.0,500.0,,1,40,12,0.7314814166666667,0.7398149166666667,-0.008333500000000013,-0.019444499999999976,2,2,8,0
6,500.0,500.0,,1,60,12,0.7324073333333333,0.74768525,-0.015277916666666669,-0.022221999999999964,2,1,9,0
6,500.0,500.0,,1,80,12,0.7479165833333333,0.7513888333333333,-0.003472250000000001,-0.0055555000000000465,5,0,7,0
6,500.0,500.0,,1,100,12,0.7543980833333334,0.7532406666666667,0.0011574166666666608,0.015278000000000014,7,0,5,0
6,500.0,500.0,,1,120,12,0.7650461666666667,0.75925925,0.005786916666666651,0.016666999999999987,7,0,5,0
6,500.0,500.0,,1,140,12,0.7694443333333333,0.7680555833333333,0.0013887499999999942,-0.0027780000000000027,5,1,6,0
6,500.0,500.0,,1,160,12,0.7780091666666666,0.77268525,0.00532391666666666,0.009721999999999953,7,1,4,0
6,500.0,500.0,,1,180,12,0.7872685,0.77268525,0.014583249999999992,0.018055500000000002,8,1,3,0
6,500.0,500.0,,1,200,12,0.7898148333333334,0.7756945,0.01412033333333331,0.009722499999999967,8,0,4,0
6,500.0,500.0,,1,220,12,0.79143525,0.7780093333333333,0.013425916666666657,0.00833299999999998,7,0,5,0
6,500.0,500.0,,1,240,12,0.79143525,0.7840278333333334,0.007407416666666657,4.999999999588667e-07,6,0,6,0
6,500.0,500.0,,1,260,12,0.7942130000000001,0.7840278333333334,0.01018516666666667,0.0013889999999999736,6,2,4,0
6,500.0,500.0,,1,280,12,0.7942130000000001,0.7863426666666666,0.00787033333333334,0.0013889999999999736,6,2,4,0
6,500.0,500.0,,1,300,12,0.7953704166666666,0.7863426666666666,0.00902775000000001,0.0013889999999999736,6,2,4,0
6,500.0,500.0,,1,320,12,0.7962963333333334,0.7872686666666666,0.009027666666666665,0.002777999999999947,7,1,4,0
6,500.0,500.0,,1,340,12,0.8002314166666666,0.7877315833333334,0.01249983333333333,0.009722000000000008,8,0,4,0
6,500.0,500.0,,1,360,12,0.8018518333333333,0.7877315833333334,0.014120249999999992,0.012499999999999956,8,1,3,0
6,500.0,500.0,,1,380,12,0.80324075,0.7877315833333334,0.015509166666666657,0.012500000000000011,10,0,2,0
6,500.0,500.0,,1,400,12,0.80347225,0.7877315833333334,0.015740666666666653,0.013888999999999985,10,0,2,0
6,500.0,500.0,,2,20,12,0.5747683333333333,0.5747683333333333,0.0,0.0,0,12,0,0
6,500.0,500.0,,2,40,12,0.5787035,0.5951388333333333,-0.01643533333333334,-0.012500000000000011,1,4,7,0
6,500.0,500.0,,2,60,12,0.5928239166666667,0.6162035833333334,-0.02337966666666666,-0.016666999999999932,1,4,7,0
6,500.0,500.0,,2,80,12,0.59537025,0.6224535833333333,-0.02708333333333333,-0.018055500000000002,0,2,10,0
6,500.0,500.0,,2,100,12,0.6074073333333333,0.6245369166666667,-0.017129583333333327,-0.008333499999999994,2,2,8,0
6,500.0,500.0,,2,120,12,0.6131944166666666,0.6305555,-0.017361083333333333,-0.012500000000000011,2,2,8,0
6,500.0,500.0,,2,140,12,0.62152775,0.63495375,-0.013426000000000002,-0.013888999999999985,3,0,9,0
6,500.0,500.0,,2,160,12,0.62152775,0.6386574166666666,-0.017129666666666665,-0.018056000000000016,2,0,10,0
6,500.0,500.0,,2,180,12,0.6236110833333334,0.6386574166666666,-0.015046333333333337,-0.018056000000000016,3,0,9,0
6,500.0,500.0,,2,200,12,0.6247685833333333,0.6428241666666666,-0.018055583333333347,-0.02083350000000006,2,0,10,0
6,500.0,500.0,,2,220,12,0.6282408333333334,0.644676,-0.016435166666666678,-0.02083350000000006,1,1,10,0
6,500.0,500.0,,2,240,12,0.63009275,0.644676,-0.014583250000000011,-0.018056000000000016,2,1,9,0
6,500.0,500.0,,2,260,12,0.6418983333333333,0.644676,-0.0027776666666666783,-0.009722000000000064,4,1,7,0
6,500.0,500.0,,2,280,12,0.64305575,0.644676,-0.0016202500000000082,-0.0055555000000000465,4,1,7,0
6,500.0,500.0,,2,300,12,0.6458335,0.644676,0.0011574999999999873,-0.001389000000000029,5,1,6,0
6,500.0,500.0,,2,320,12,0.651389,0.6451389166666667,0.006250083333333323,0.0013889999999999736,6,1,5,0
6,500.0,500.0,,2,340,12,0.6534723333333333,0.64652775,0.006944583333333319,4.999999999588667e-07,6,0,6,0
6,500.0,500.0,,2,360,12,0.65393525,0.64675925,0.007175999999999988,4.999999999588667e-07,6,0,6,0
6,500.0,500.0,,2,380,12,0.6553240833333334,0.6469906666666667,0.008333416666666657,0.0013889999999999736,6,1,5,0
6,500.0,500.0,,2,400,12,0.6581019166666666,0.6469906666666667,0.011111249999999998,0.0013889999999999736,6,1,5,0
