pair,method,file,seed,relays,width,height,iteration,evaluation,best_fitness
3,Naive,2026-09-23_00-59-31.log,,206,,,23,24,0.472222
3,Naive,2026-09-23_00-59-31.log,,206,,,343,344,0.477778
4,PSO,2026-09-23_01-07-48.log,747263,2,500.0,500.0,0,1,0.3
4,PSO,2026-09-23_01-07-48.log,747263,2,500.0,500.0,0,5,0.338889
4,PSO,2026-09-23_01-07-48.log,747263,2,500.0,500.0,0,9,0.416667
4,PSO,2026-09-23_01-07-48.log,747263,2,500.0,500.0,0,16,0.425
4,PSO,2026-09-23_01-07-48.log,747263,2,500.0,500.0,3,68,0.438889
4,PSO,2026-09-23_01-07-48.log,747263,2,500.0,500.0,4,86,0.441667
4,PSO,2026-09-23_01-07-48.log,747263,2,500.0,500.0,5,108,0.452778
4,PSO,2026-09-23_01-07-48.log,747263,2,500.0,500.0,6,135,0.461111
4,Naive,2026-09-23_01-17-24.log,,91,,,0,1,0.3
4,Naive,2026-09-23_01-17-24.log,,91,,,4,5,0.338889
4,Naive,2026-09-23_01-17-24.log,,91,,,8,9,0.416667
4,Naive,2026-09-23_01-17-24.log,,91,,,15,16,0.425
4,Naive,2026-09-23_01-17-24.log,,91,,,72,73,0.438889
4,Naive,2026-09-23_01-17-24.log,,91,,,133,134,0.463889
5,PSO,2026-09-23_01-25-27.log,677807,2,500.0,500.0,0,1,0.35
5,PSO,2026-09-23_01-25-27.log,677807,2,500.0,500.0,0,4,0.355556
5,PSO,2026-09-23_01-25-27.log,677807,2,500.0,500.0,0,6,0.416667
5,PSO,2026-09-23_01-25-27.log,677807,2,500.0,500.0,0,9,0.45
5,PSO,2026-09-23_01-25-27.log,677807,2,500.0,500.0,0,17,0.466667
5,PSO,2026-09-23_01-25-27.log,677807,2,500.0,500.0,2,47,0.483333
5,PSO,2026-09-23_01-25-27.log,677807,2,500.0,500.0,2,49,0.497222
5,PSO,2026-09-23_01-25-27.log,677807,2,500.0,500.0,4,91,0.5
5,PSO,2026-09-23_01-25-27.log,677807,2,500.0,500.0,5,110,0.508333
5,PSO,2026-09-23_01-25-27.log,677807,2,500.0,500.0,5,119,0.511111
5,PSO,2026-09-23_01-25-27.log,677807,2,500.0,500.0,6,128,0.513889
5,PSO,2026-09-23_01-25-27.log,677807,2,500.0,500.0,8,165,0.516667
5,Naive,2026-09-23_01-35-15.log,,209,,,0,1,0.35
5,Naive,2026-09-23_01-35-15.log,,209,,,3,4,0.355556
5,Naive,2026-09-23_01-35-15.log,,209,,,5,6,0.416667
5,Naive,2026-09-23_01-35-15.log,,209,,,8,9,0.45
5,Naive,2026-09-23_01-35-15.log,,209,,,16,17,0.466667
5,Naive,2026-09-23_01-35-15.log,,209,,,138,139,0.469444
5,Naive,2026-09-23_01-35-15.log,,209,,,168,169,0.475
6,PSO,2026-09-23_01-43-35.log,806219,2,500.0,500.0,0,1,0.2
6,PSO,2026-09-23_01-43-35.log,806219,2,500.0,500.0,0,2,0.3
6,PSO,2026-09-23_01-43-35.log,806219,2,500.0,500.0,0,3,0.325
6,PSO,2026-09-23_01-43-35.log,806219,2,500.0,500.0,0,5,0.347222
6,PSO,2026-09-23_01-43-35.log,806219,2,500.0,500.0,1,26,0.35
6,PSO,2026-09-23_01-43-35.log,806219,2,500.0,500.0,2,42,0.358333
6,PSO,2026-09-23_01-43-35.log,806219,2,500.0,500.0,3,63,0.397222
