pair,seed,relays,width,height,nodes,network_config,evaluations,pso_best_pdr,naive_best_pdr,delta_pdr,naive_failed,naive_failed_before_checkpoint,naive_last_logged_iteration
14,864365,2,500.0,500.0,,2,60,0.277778,0.269444,0.008334000000000008,False,False,195
14,864365,2,500.0,500.0,,2,80,0.280556,0.269444,0.01111200000000001,False,False,195
14,864365,2,500.0,500.0,,2,100,0.280556,0.269444,0.01111200000000001,False,False,195
14,864365,2,500.0,500.0,,2,120,0.3,0.269444,0.030555999999999972,False,False,195
14,864365,2,500.0,500.0,,2,140,0.3,0.269444,0.030555999999999972,False,False,195
14,864365,2,500.0,500.0,,2,160,0.3,0.280556,0.01944399999999996,False,False,195
14,864365,2,500.0,500.0,,2,180,0.3,0.280556,0.01944399999999996,False,False,195
14,864365,2,500.0,500.0,,2,200,0.3,0.291667,0.00833299999999998,False,False,195
14,864365,2,500.0,500.0,,2,220,0.3,0.291667,0.00833299999999998,False,False,195
14,864365,2,500.0,500.0,,2,240,0.3,0.291667,0.00833299999999998,False,False,195
14,864365,2,500.0,500.0,,2,260,0.3,0.291667,0.00833299999999998,False,False,195
14,864365,2,500.0,500.0,,2,280,0.3,0.291667,0.00833299999999998,False,False,195
14,864365,2,500.0,500.0,,2,300,0.3,0.291667,0.00833299999999998,False,False,195
14,864365,2,500.0,500.0,,2,320,0.3,0.291667,0.00833299999999998,False,False,195
14,864365,2,500.0,500.0,,2,340,0.3,0.291667,0.00833299999999998,False,False,195
14,864365,2,500.0,500.0,,2,360,0.3,0.291667,0.00833299999999998,False,False,195
14,864365,2,500.0,500.0,,2,380,0.3,0.291667,0.00833299999999998,False,False,195
14,864365,2,500.0,500.0,,2,400,0.3,0.291667,0.00833299999999998,False,False,195
15,67358,2,500.0,500.0,,2,20,0.233333,0.233333,0.0,False,False,202
15,67358,2,500.0,500.0,,2,40,0.288889,0.302778,-0.013888999999999985,False,False,202
15,67358,2,500.0,500.0,,2,60,0.288889,0.330556,-0.04166700000000001,False,False,202
15,67358,2,500.0,500.0,,2,80,0.288889,0.330556,-0.04166700000000001,False,False,202
15,67358,2,500.0,500.0,,2,100,0.3,0.330556,-0.030556000000000028,False,False,202
15,67358,2,500.0,500.0,,2,120,0.3,0.330556,-0.030556000000000028,False,False,202
15,67358,2,500.0,500.0,,2,140,0.3,0.330556,-0.030556000000000028,False,False,202
15,67358,2,500.0,500.0,,2,160,0.3,0.330556,-0.030556000000000028,False,False,202
15,67358,2,500.0,500.0,,2,180,0.308333,0.330556,-0.022222999999999993,False,False,202
15,67358,2,500.0,500.0,,2,200,0.308333,0.330556,-0.022222999999999993,False,False,202
15,67358,2,500.0,500.0,,2,220,0.319444,0.344444,-0.024999999999999967,False,False,202
15,67358,2,500.0,500.0,,2,240,0.319444,0.344444,-0.024999999999999967,False,False,202
15,67358,2,500.0,500.0,,2,260,0.319444,0.344444,-0.024999999999999967,False,False,202
15,67358,2,500.0,500.0,,2,280,0.319444,0.344444,-0.024999999999999967,False,False,202
15,67358,2,500.0,500.0,,2,300,0.319444,0.344444,-0.024999999999999967,False,False,202
15,67358,2,500.0,500.0,,2,320,0.319444,0.344444,-0.024999999999999967,False,False,202
